id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
72213215,,25000,25000,25000, 36 months,7.89,782.15,A,A5,AR Technician,6 years,MORTGAGE,28000,Verified,Mar-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72213215,,debt_consolidation,,187xx,PA,99.74,0,May-00,710,714,0,,,25,0,76569,63.5,43,w,0,0,28135.12094,28135.12,25000,3135.12,0,0,0,Mar-19,781.79,,Mar-19,724,720,0,,1,Joint App,123000,26.25,Not Verified,0,0,181862,0,1,0,0,48,4604,24,0,4,14244,58,120500,0,0,0,5,8266,26354,73.4,0,0,173,189,18,18,2,18,,18,,0,11,16,14,16,10,23,31,16,25,0,0,0,0,100,57.1,0,0,244479,81173,99000,18979,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72663769,,22750,22750,22750, 36 months,19.53,840.04,D,D5,Personnel,10+ years,RENT,77227.08,Verified,Mar-16,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72663769,,debt_consolidation,Debt consolidation,968xx,HI,23.17,2,Jun-06,680,684,0,8,,12,0,3527,84,20,w,78.77,78.77,30300.65,30300.65,22671.23,7587.42,42,0,0,Mar-19,840.04,Apr-19,Mar-19,619,615,0,8,1,Individual,,,,0,0,87207,0,10,1,3,8,83680,97,1,1,67,97,4200,4,1,7,4,7267,233,22.3,1,0,116,109,12,8,1,12,,8,40,2,1,2,1,1,15,2,4,2,12,0,0,2,2,85,0,0,0,90195,87207,300,85995,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72753843,,16500,16500,16500, 36 months,8.39,520.03,B,B1,Engineer,10+ years,MORTGAGE,100000,Not Verified,Feb-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72753843,,car,Car financing,827xx,WY,25.97,0,Dec-87,740,744,0,,92,15,1,82,0.2,32,w,0,0,17286.83,17286.83,16500,786.83,0,0,0,Oct-16,14158.96,,Oct-18,704,700,0,,1,Individual,,,,0,0,336018,1,3,2,6,2,107451,91,2,3,82,38,37600,1,4,2,9,28002,15918,0.5,0,0,120,338,7,2,1,7,,7,,0,1,1,5,5,19,11,12,1,15,0,0,0,4,100,0,1,0,427665,107533,16000,131815,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72574093,,20000,20000,20000, 36 months,12.99,673.79,C,C2,BUSINESS MGR,10+ years,MORTGAGE,135000,Verified,Feb-16,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72574093,,debt_consolidation,Debt consolidation,080xx,NJ,12.06,0,Jan-95,670,674,1,45,63,19,2,16922,44.4,38,w,0,0,11817.72,11817.72,6343.84,2386.56,0,3087.32,555.7176,Apr-17,673.79,,Sep-17,499,0,0,,1,Individual,,,,0,290,35122,2,2,0,3,15,18200,60,3,7,6356,51,38100,1,0,4,10,2195,5731,70.2,0,0,145,253,0,0,5,0,,0,,0,7,11,10,13,10,16,22,11,19,0,0,0,3,96.9,37.5,1,1,68680,35122,19200,30580,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72733085,,12000,12000,12000, 60 months,14.46,282.09,C,C4,Financial representative ,3 years,MORTGAGE,65000,Not Verified,Feb-16,In Grace Period,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72733085,,credit_card,Credit card refinancing,471xx,IN,13.61,4,Jul-07,660,664,0,0,,10,0,6232,49.5,14,w,5861.58,5861.58,10113.03,10113.03,6138.42,3974.61,0,0,0,Feb-19,282.09,Apr-19,Mar-19,604,600,0,,1,Individual,,,,1,0,163387,3,2,0,1,17,17517,57,2,2,4350,55,12600,0,0,1,4,16339,2465,68.4,0,61,41,103,6,6,3,6,0,7,0,0,2,5,1,2,2,7,9,5,9,0,1,0,3,71.4,50,0,0,183519,23749,7800,30919,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72543813,,5500,5500,5500, 36 months,16.29,194.16,D,D1,Sales Consultant,1 year,RENT,50000,Verified,Feb-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72543813,,debt_consolidation,Debt consolidation,802xx,CO,28.85,0,Oct-12,690,694,3,,,13,0,4530,30.6,14,w,0,0,5552.26,5552.26,5500,52.26,0,0,0,Mar-16,5562.22,,May-18,669,665,0,,1,Individual,,,,0,406,30331,5,2,2,2,3,25801,81,6,9,1593,65,14800,1,1,3,11,2333,8169,31.4,0,0,34,40,1,1,0,2,,2,,0,7,9,9,9,3,11,11,9,13,0,0,0,8,100,0,0,0,46516,30331,11900,31716,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
71886131,,12000,12000,12000, 60 months,20.75,322.96,E,E2,Analyst II,10+ years,MORTGAGE,61350,Source Verified,Feb-16,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=71886131,,debt_consolidation,Debt consolidation,721xx,AR,18.13,0,May-02,680,684,2,24,,11,0,8182,60.2,22,w,6085.7,6085.7,11935.69,11935.69,5914.3,6021.39,0,0,0,Mar-19,322.96,Apr-19,Mar-19,629,625,0,24,1,Individual,,,,0,0,103176,1,5,1,1,6,37381,105,1,2,5007,93,13600,0,3,5,3,9380,3793,56.9,0,0,152,159,10,6,2,10,24,2,24,1,1,4,2,5,9,5,11,4,11,0,0,0,2,86.4,50,0,0,112239,45563,8800,35639,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72553638,,20000,20000,20000, 60 months,10.75,432.36,B,B4,Branch Manger,10+ years,MORTGAGE,62500,Not Verified,Feb-16,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72553638,,debt_consolidation,Debt consolidation,212xx,MD,18.86,0,Jul-01,745,749,0,33,,11,0,11944,29.6,21,w,8950.58,8950.58,15985.38,15985.38,11049.42,4935.96,0,0,0,Mar-19,432.36,Apr-19,Mar-19,734,730,0,,1,Individual,,,,0,0,192658,0,3,1,3,11,33524,82,0,2,7449,56,40400,5,1,3,6,17514,23456,33.7,0,0,58,175,13,11,3,13,,11,33,0,2,2,5,7,6,7,12,2,11,0,0,0,2,95.2,0,0,0,230294,45468,35400,41080,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72782994,,30000,30000,30000, 60 months,10.75,648.54,B,B4,Budget Analyst,10+ years,MORTGAGE,60756,Source Verified,Mar-16,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72782994,,major_purchase,,038xx,NH,29.21,0,Mar-01,740,744,0,,,13,0,11049,47.8,23,w,13949.45,13949.45,23329.52,23329.52,16050.55,7278.97,0,0,0,Mar-19,648.54,Apr-19,Mar-19,664,660,0,,1,Joint App,89187,20.57,Not Verified,0,0,52064,0,2,0,0,28,41015,65,1,4,4298,58,23100,0,1,1,4,5206,6975,59.7,0,0,147,179,7,7,2,7,,4,,0,5,7,5,7,6,11,15,7,13,0,0,0,1,100,40,0,0,94537,52064,17300,71437,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72613993,,16100,16100,16100, 36 months,11.47,530.69,B,B5,Adminstrative Assistant,9 years,RENT,79000,Source Verified,Feb-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72613993,,debt_consolidation,Debt consolidation,115xx,NY,16.42,0,Oct-69,680,684,0,62,,12,0,7713,29.2,17,w,0,0,17309.07,17309.07,16100,1209.07,0,0,0,Oct-16,13604.5,,Nov-16,784,780,0,62,1,Individual,,,,0,399,16667,1,2,0,1,19,8954,51,3,5,3394,38,26400,0,0,1,6,1515,12102,37.3,0,0,39,556,6,6,0,6,62,11,62,1,3,5,5,6,2,10,15,5,12,0,0,0,3,94.1,20,0,0,43841,16667,19300,17441,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72743972,,13200,13200,13200, 60 months,9.16,275.04,B,B2,Sr. Loan Processor,4 years,MORTGAGE,60000,Not Verified,Feb-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72743972,,debt_consolidation,Debt consolidation,358xx,AL,26.3,0,Jun-88,770,774,0,,,11,0,12885,22.4,27,w,0,0,15376.05416,15376.05,13200,2176.05,0,0,0,May-18,8506.77,,Dec-18,749,745,0,,1,Individual,,,,0,0,80872,1,2,1,2,6,67987,77,0,3,7311,39,57500,0,2,0,5,7352,35615,26.6,0,0,127,332,17,6,3,17,,,,0,3,3,6,10,4,9,20,3,11,0,0,0,1,100,16.7,0,0,132500,80872,48500,75000,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72784929,,5200,5200,5200, 36 months,12.99,175.19,C,C2,Customer rep/driver,5 years,RENT,70000,Source Verified,Feb-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72784929,,other,,029xx,RI,0.6,0,Apr-06,700,704,0,28,,5,0,529,6,27,w,0,0,5842.060778,5842.06,5200,642.06,0,0,0,Apr-17,1747.29,,Mar-19,584,580,0,28,1,Individual,,,,0,0,68084,1,1,0,0,45,67555,,2,4,529,6,8800,0,0,0,4,13617,2271,18.9,0,0,118,110,1,1,0,10,,17,,19,1,1,3,4,22,4,5,1,5,0,0,0,2,29.6,0,0,0,87118,68084,2800,78318,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72583306,,32000,32000,32000, 60 months,13.67,739.13,C,C3,Sales Engineer,4 years,RENT,150000,Source Verified,Feb-16,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72583306,,credit_card,Credit card refinancing,021xx,MA,17.3,0,Nov-81,720,724,1,,,15,0,33848,71,19,w,14880.69,14880.69,27189.16,27189.16,17119.31,10069.85,0,0,0,Mar-19,739.13,Apr-19,Mar-19,754,750,0,,1,Individual,,,,0,0,123397,1,9,1,3,5,89549,76,1,1,14551,75,47700,1,0,1,4,8814,13772,70.8,0,0,120,411,10,5,0,10,,1,,0,4,5,5,5,11,6,8,5,15,0,0,0,2,100,25,0,0,165169,123397,47200,117469,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72593979,,10600,10600,10600, 36 months,19.99,393.88,E,E1,,,RENT,29449,Verified,Mar-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72593979,,debt_consolidation,Debt consolidation,234xx,VA,33.74,1,Sep-82,665,669,0,21,,11,0,12726,68.1,24,f,0,0,14156.13885,14156.14,10600,3556.14,0,0,0,Mar-19,393.88,,Feb-19,724,720,0,57,1,Individual,,,,0,0,29810,2,2,2,2,3,17084,91,2,3,1142,80,18700,0,5,2,5,2710,4857,32.5,0,0,153,401,3,3,3,7,21,5,21,1,3,8,4,6,4,9,17,8,11,0,0,0,4,66.7,50,0,0,37485,29810,7200,18785,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72634121,,15000,15000,15000, 36 months,6.97,462.96,A,A3,Deputy,10+ years,OWN,82000,Not Verified,Feb-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72634121,,home_improvement,Home improvement,982xx,WA,22.42,0,Jun-03,765,769,1,,,12,0,11071,32.8,21,w,0,0,16601.10834,16601.11,15000,1601.11,0,0,0,Aug-18,3644.04,,Mar-19,769,765,0,,1,Individual,,,,0,0,256452,1,3,1,2,11,28785,54,2,2,4045,46,33800,0,2,1,5,21371,22086,33.1,0,0,89,138,5,5,6,5,,5,,0,4,5,7,9,5,8,10,5,12,0,0,0,3,100,0,0,0,307872,39856,33000,53397,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72235584,,8000,8000,8000, 36 months,18.99,293.21,D,D4,Network Engineer,4 years,RENT,74000,Verified,Feb-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72235584,,moving,Moving and relocation,765xx,TX,27.14,1,Jun-02,675,679,0,23,,11,0,10074,50.4,22,w,0,0,9937.726774,9937.73,8000,1937.73,0,0,0,Sep-17,4676.83,,Feb-18,684,680,0,23,1,Individual,,,,0,1395,353481,2,3,2,2,2,48217,73,1,1,3452,68,20000,3,0,3,4,32135,1281,87.6,0,0,164,127,10,2,2,41,33,2,33,1,4,5,4,7,10,6,10,5,11,0,0,1,4,95.2,75,0,0,392200,58291,10300,66000,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72743964,,16800,16800,16800, 60 months,7.89,339.76,A,A5,Conductor,10+ years,MORTGAGE,99000,Not Verified,Feb-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72743964,,credit_card,Credit card refinancing,760xx,TX,20.98,0,Dec-00,740,744,0,38,,10,0,9069,37.9,28,w,0,0,18566.77458,18566.77,16800,1766.77,0,0,0,Sep-17,12784.3,,Oct-18,714,710,0,,1,Individual,,,,0,0,258629,0,2,0,3,13,50996,72,0,0,4289,56,23800,1,1,1,5,25863,14231,38.7,0,0,171,182,30,7,3,30,,9,,0,5,5,6,8,16,7,9,5,10,0,0,0,1,96.3,0,0,0,293500,60065,23300,69395,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72634060,,6000,6000,6000, 36 months,6.97,185.19,A,A3,Nurse Manager,8 years,MORTGAGE,64280,Not Verified,Feb-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72634060,,credit_card,Credit card refinancing,570xx,SD,17.64,0,Sep-02,710,714,0,44,,11,0,11664,68.6,34,w,0,0,6527.668223,6527.67,6000,527.67,0,0,0,Nov-17,2600.94,,Mar-19,724,720,0,44,1,Individual,,,,0,0,112493,0,7,0,0,26,100829,69,0,0,7471,69,17000,0,1,0,0,10227,5336,68.6,0,0,161,153,29,26,0,29,44,,44,1,3,3,4,6,27,4,7,3,11,0,0,0,0,90.9,0,0,0,130084,112493,17000,113084,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72163839,,20000,20000,20000, 36 months,5.32,602.3,A,A1,Registered Nurse ,2 years,RENT,120000,Not Verified,Feb-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72163839,,major_purchase,Major purchase,107xx,NY,9.02,0,Jan-03,800,804,0,,,14,0,2550,5.7,32,f,0,0,21677.69367,21677.69,20000,1677.69,0,0,0,Mar-19,0.8,,Mar-19,824,820,0,,1,Individual,,,,0,0,20923,1,5,0,1,22,18373,49,1,1,2550,25,45000,0,2,0,2,1495,27850,8.4,0,0,86,157,1,1,0,1,,13,,0,1,1,5,19,7,9,25,1,14,0,0,0,1,100,0,0,0,82250,20923,30400,37250,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
