Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
5000,4/21/2016,debt_consolidation,,43.85%,917xx,CA,< 1 year,0
2500,4/21/2016,debt_consolidation,,0.57%,954xx,CA,5 years,0
10000,4/21/2016,debt_consolidation,,10.49%,333xx,FL,< 1 year,0
35000,4/21/2016,home_improvement,,26.21%,085xx,NJ,5 years,0
1000,4/21/2016,moving,,0.14%,971xx,OR,< 1 year,0
30000,4/21/2016,debt_consolidation,,28.50%,495xx,MI,< 1 year,0
20000,4/21/2016,debt_consolidation,,25.57%,932xx,CA,< 1 year,0
3000,4/21/2016,car,,33.48%,826xx,WY,5 years,0
20000,4/21/2016,other,,3.04%,902xx,CA,< 1 year,0
4000,4/21/2016,debt_consolidation,,24.19%,335xx,FL,< 1 year,0
25000,4/21/2016,debt_consolidation,,43.44%,920xx,CA,< 1 year,0
15000,4/21/2016,debt_consolidation,,22.31%,378xx,TN,< 1 year,0
5000,4/21/2016,debt_consolidation,,22.81%,278xx,NC,< 1 year,0
5000,4/21/2016,credit_card,,334.23%,750xx,TX,< 1 year,0
15000,4/21/2016,debt_consolidation,,2%,301xx,GA,< 1 year,0
20000,4/21/2016,home_improvement,653,33.63%,212xx,MD,< 1 year,0
15000,4/21/2016,other,635,48.27%,926xx,CA,< 1 year,0
2000,4/21/2016,debt_consolidation,,0.39%,707xx,LA,< 1 year,0
7000,4/21/2016,debt_consolidation,,2.51%,923xx,CA,5 years,0
35000,4/21/2016,debt_consolidation,,40.06%,853xx,AZ,< 1 year,0
40000,4/21/2016,home_improvement,,39.14%,853xx,AZ,< 1 year,0
5000,4/21/2016,other,689,9.80%,349xx,FL,< 1 year,0
14000,4/21/2016,Debt consolidation,,5.19%,076xx,NJ,,0
18000,4/21/2016,credit_card,,37.54%,027xx,MA,,0
5000,4/21/2016,home_improvement,,5.30%,114xx,NY,< 1 year,0
2000,4/21/2016,debt_consolidation,768,60.50%,441xx,OH,< 1 year,0
1000,4/21/2016,credit_card,,23.36%,927xx,CA,5 years,0
7000,4/21/2016,debt_consolidation,,33.38%,591xx,MT,5 years,0
20000,4/21/2016,debt_consolidation,,49.82%,440xx,OH,,0
1500,4/21/2016,other,,12.75%,104xx,NY,< 1 year,0
2000,4/21/2016,home_improvement,,2.75%,945xx,CA,5 years,0
20000,4/21/2016,debt_consolidation,,24.96%,841xx,UT,5 years,0
20000,4/21/2016,debt_consolidation,627,35.65%,498xx,MI,< 1 year,0
35000,4/21/2016,house,,19.25%,573xx,SD,5 years,0
5000,4/21/2016,other,,0%,322xx,FL,< 1 year,0
1500,4/21/2016,house,668,1.63%,283xx,NC,< 1 year,0
30000,4/21/2016,debt_consolidation,698,37.06%,967xx,HI,< 1 year,0
5000,4/21/2016,home_improvement,,20.83%,775xx,TX,< 1 year,0
5000,4/21/2016,debt_consolidation,,15.91%,667xx,KS,< 1 year,0
100000,4/21/2016,Business Loan,,-1%,983xx,WA,< 1 year,0
26000,4/21/2016,debt_consolidation,,1.32%,967xx,HI,< 1 year,0
8000,4/21/2016,credit_card,,41.46%,463xx,IN,< 1 year,0
2000,4/21/2016,debt_consolidation,,8.28%,458xx,OH,< 1 year,0
25000,4/21/2016,debt_consolidation,,21.30%,088xx,NJ,< 1 year,0
1000,4/21/2016,moving,,11.82%,065xx,CT,< 1 year,0
7000,4/21/2016,other,,0%,905xx,CA,< 1 year,0
8500,4/21/2016,medical,,1.94%,100xx,NY,< 1 year,0
14400,4/21/2016,credit_card,,50%,581xx,ND,5 years,0
10000,4/21/2016,debt_consolidation,,9.36%,836xx,ID,< 1 year,0
15000,4/21/2016,credit_card,,19.82%,550xx,MN,< 1 year,0
15000,4/21/2016,credit_card,,35.76%,785xx,TX,< 1 year,0
5000,4/21/2016,Business Loan,,-1%,397xx,MS,< 1 year,0
25000,4/21/2016,Debt consolidation,,20.36%,941xx,CA,2 years,0
1000,4/21/2016,other,,419.02%,640xx,MO,< 1 year,0
5000,4/21/2016,Other,,0.78%,600xx,IL,10+ years,0
1500,4/21/2016,other,,0%,988xx,WA,5 years,0
15000,4/21/2016,credit_card,,16.89%,913xx,CA,5 years,0
20000,4/21/2016,car,681,16.80%,333xx,FL,< 1 year,0
25000,4/21/2016,house,,29.75%,143xx,NY,5 years,0
20000,4/21/2016,Debt consolidation,740,14.69%,982xx,WA,10+ years,0
2000,4/21/2016,other,,35.88%,462xx,IN,< 1 year,0
40000,4/21/2016,debt_consolidation,,0.21%,276xx,NC,< 1 year,0
5000,4/21/2016,debt_consolidation,,97.14%,936xx,CA,< 1 year,0
28000,4/21/2016,debt_consolidation,,19.89%,672xx,KS,< 1 year,0
4000,4/21/2016,other,,8.13%,535xx,WI,< 1 year,0
2000,4/21/2016,medical,,19.54%,932xx,CA,5 years,0
10000,4/21/2016,credit_card,,-1%,789xx,TX,< 1 year,0
1500,4/21/2016,debt_consolidation,,9.38%,907xx,CA,< 1 year,0
2000,4/21/2016,other,,0%,123xx,NY,< 1 year,0
1500,4/21/2016,debt_consolidation,,24.33%,377xx,TN,< 1 year,0
9000,4/21/2016,credit_card,,42.50%,754xx,TX,< 1 year,0
5000,4/21/2016,moving,728,0.24%,294xx,SC,< 1 year,0
15000,4/21/2016,small_business,,42.19%,297xx,SC,5 years,0
10000,4/21/2016,credit_card,,43.63%,142xx,NY,,0
10000,4/21/2016,debt_consolidation,,20.45%,940xx,CA,< 1 year,0
3000,4/21/2016,small_business,,10.11%,490xx,MI,,0
10000,4/21/2016,credit_card,,20.93%,331xx,FL,< 1 year,0
35000,4/21/2016,debt_consolidation,,23.87%,276xx,NC,< 1 year,0
1000,4/21/2016,other,,-1%,636xx,MO,< 1 year,0
15000,4/21/2016,other,,11.61%,325xx,FL,5 years,0
3000,4/21/2016,debt_consolidation,,7.80%,350xx,AL,,0
30000,4/21/2016,other,,20.34%,740xx,OK,5 years,0
7000,4/21/2016,Debt consolidation,,12.96%,485xx,MI,10+ years,2
5000,4/21/2016,medical,,21.49%,679xx,KS,5 years,0
2000,4/21/2016,other,,70.35%,078xx,NJ,< 1 year,0
5000,4/21/2016,credit_card,,31.49%,925xx,CA,,0
5000,4/21/2016,Debt consolidation,742,10.61%,953xx,CA,3 years,2
5000,4/21/2016,debt_consolidation,,2.85%,352xx,AL,5 years,0
7500,4/21/2016,credit_card,,61.84%,971xx,OR,5 years,0
5000,4/21/2016,credit_card,,-1%,104xx,NY,< 1 year,0
20000,4/21/2016,credit_card,,30.92%,841xx,UT,< 1 year,0
10000,4/21/2016,house,,1.20%,354xx,AL,5 years,0
10000,4/21/2016,debt_consolidation,,67.59%,900xx,CA,< 1 year,0
2400,4/21/2016,other,,17.39%,773xx,TX,5 years,0
2500,4/21/2016,credit_card,,9.60%,630xx,MO,5 years,0
25000,4/21/2016,Business Loan,,-1%,461xx,IN,< 1 year,0
35000,4/21/2016,debt_consolidation,,15.72%,736xx,OK,< 1 year,0
20000,4/21/2016,debt_consolidation,,18.66%,945xx,CA,< 1 year,0
15000,4/21/2016,debt_consolidation,,25.18%,280xx,NC,< 1 year,0
10000,4/21/2016,debt_consolidation,,4.02%,284xx,NC,5 years,0
1500,4/21/2016,other,,10.97%,676xx,KS,5 years,0
6000,4/21/2016,house,,12.78%,456xx,OH,5 years,0
25000,4/21/2016,debt_consolidation,,38.59%,809xx,CO,< 1 year,0
7500,4/21/2016,credit_card,,11.70%,467xx,IN,< 1 year,0
5000,4/21/2016,debt_consolidation,,27.09%,761xx,TX,< 1 year,0
15000,4/21/2016,Credit card refinancing,691,16.32%,151xx,PA,1 year,0
8125,4/21/2016,debt_consolidation,,32.72%,232xx,VA,5 years,0
20000,4/21/2016,debt_consolidation,661,30.69%,908xx,CA,< 1 year,0
4000,4/21/2016,debt_consolidation,,0%,853xx,AZ,< 1 year,0
5000,4/21/2016,debt_consolidation,,39.50%,240xx,VA,< 1 year,0
20000,4/21/2016,debt_consolidation,,23.10%,841xx,UT,5 years,0
35000,4/21/2016,credit_card,,29.52%,207xx,MD,< 1 year,0
7500,4/21/2016,debt_consolidation,,3.20%,913xx,CA,< 1 year,0
2500,4/21/2016,debt_consolidation,,31.24%,299xx,SC,5 years,0
2000,4/21/2016,moving,,431.67%,838xx,ID,< 1 year,0
2000,4/21/2016,medical,,14.29%,765xx,TX,< 1 year,0
5000,4/21/2016,credit_card,,11.94%,333xx,FL,< 1 year,0
18000,4/21/2016,debt_consolidation,,24.86%,871xx,NM,,0
6000,4/21/2016,credit_card,,16.65%,972xx,OR,< 1 year,0
15000,4/21/2016,house,,4.31%,981xx,WA,< 1 year,0
26000,4/21/2016,debt_consolidation,,21.71%,600xx,IL,5 years,0
1225,4/21/2016,vacation,,115.66%,285xx,FL,< 1 year,0
5000,4/21/2016,house,,13.54%,456xx,OH,< 1 year,0
35000,4/21/2016,credit_card,609,22.46%,013xx,MA,< 1 year,0
20000,4/21/2016,debt_consolidation,,30.79%,778xx,TX,< 1 year,0
7000,4/21/2016,debt_consolidation,,-1%,847xx,UT,< 1 year,0
6000,4/21/2016,Credit card refinancing,,11.20%,996xx,AK,10+ years,2
25000,4/21/2016,car,,2.60%,463xx,IN,< 1 year,0
2500,4/21/2016,car,,14.76%,723xx,AR,< 1 year,0
15000,4/21/2016,debt_consolidation,,62.58%,750xx,TX,< 1 year,0
30000,4/21/2016,debt_consolidation,,30.44%,935xx,CA,< 1 year,0
10000,4/21/2016,small_business,,26.60%,403xx,KY,< 1 year,0
5000,4/21/2016,other,,11.16%,720xx,AR,< 1 year,0
5000,4/21/2016,medical,,10.37%,463xx,IN,< 1 year,0
7000,4/21/2016,debt_consolidation,,32.30%,993xx,WA,< 1 year,0
7000,4/21/2016,debt_consolidation,,25.20%,325xx,FL,< 1 year,0
1300,4/21/2016,other,,26.45%,786xx,TX,5 years,0
18000,4/21/2016,major_purchase,,-1%,905xx,CA,< 1 year,0
5000,4/21/2016,other,,-1%,900xx,CA,< 1 year,0
2000,4/21/2016,car,,0%,810xx,CO,,0
14975,4/21/2016,small_business,,4.73%,346xx,FL,< 1 year,0
40000,4/21/2016,renewable_energy,,62.60%,997xx,AK,< 1 year,0
25000,4/21/2016,debt_consolidation,,12.87%,850xx,AZ,< 1 year,0
1000,4/21/2016,other,,327.76%,705xx,LA,< 1 year,0
25000,4/21/2016,major_purchase,,-1%,378xx,TN,< 1 year,0
1000,4/21/2016,other,,-1%,934xx,CA,5 years,0
4000,4/21/2016,debt_consolidation,,3.35%,950xx,CA,< 1 year,0
25000,4/21/2016,credit_card,,50.02%,084xx,NJ,< 1 year,0
2500,4/21/2016,debt_consolidation,,29.54%,606xx,IL,< 1 year,0
5000,4/21/2016,credit_card,,17.54%,282xx,NC,< 1 year,0
5000,4/21/2016,Debt consolidation,,7.88%,926xx,CA,2 years,0
1500,4/21/2016,other,,28.88%,351xx,AL,5 years,0
12000,4/21/2016,debt_consolidation,,16.46%,743xx,OK,< 1 year,0
3000,4/21/2016,vacation,,14.32%,336xx,FL,< 1 year,0
34000,4/21/2016,debt_consolidation,668,18.55%,786xx,TX,< 1 year,0
5000,4/21/2016,major_purchase,,0.94%,114xx,NY,< 1 year,0
10000,4/21/2016,small_business,,-1%,331xx,FL,< 1 year,0
1000,4/21/2016,medical,,22.65%,300xx,GA,< 1 year,0
15000,4/21/2016,debt_consolidation,,47.82%,769xx,TX,,0
10000,4/21/2016,debt_consolidation,,44.67%,799xx,TX,< 1 year,0
2000,4/21/2016,medical,,0%,631xx,MO,< 1 year,0
6000,4/21/2016,small_business,,0.10%,945xx,CA,< 1 year,0
36000,4/21/2016,car,703,3.14%,191xx,PA,< 1 year,0
5000,4/21/2016,major_purchase,,42.71%,968xx,HI,< 1 year,0
16000,4/21/2016,home_improvement,,33.62%,286xx,NC,< 1 year,0
10000,4/21/2016,home_improvement,,33.82%,761xx,TX,5 years,0
3000,4/21/2016,debt_consolidation,,20.13%,550xx,MN,5 years,0
25000,4/21/2016,credit_card,,21.63%,070xx,NJ,< 1 year,0
40000,4/21/2016,debt_consolidation,,7.33%,115xx,NY,< 1 year,0
35000,4/21/2016,debt_consolidation,,8.24%,786xx,TX,< 1 year,0
5500,4/21/2016,debt_consolidation,,19.80%,704xx,LA,< 1 year,0
30000,4/21/2016,debt_consolidation,,12.92%,956xx,CA,< 1 year,0
18000,4/21/2016,major_purchase,,66.74%,787xx,TX,< 1 year,0
10000,4/21/2016,debt_consolidation,,14.73%,300xx,GA,< 1 year,0
12000,4/21/2016,debt_consolidation,665,16.93%,206xx,MA,< 1 year,0
2500,4/21/2016,other,,1.91%,481xx,MI,< 1 year,0
20000,4/21/2016,debt_consolidation,,58.21%,117xx,NY,< 1 year,0
5000,4/21/2016,other,,6%,900xx,CA,< 1 year,0
8000,4/21/2016,debt_consolidation,,55.41%,651xx,MO,< 1 year,0
10000,4/21/2016,credit_card,,20.38%,932xx,CA,5 years,0
9000,4/21/2016,debt_consolidation,,15.99%,336xx,FL,< 1 year,0
5000,4/21/2016,debt_consolidation,,16.23%,799xx,TX,< 1 year,0
2000,4/21/2016,debt_consolidation,,5.31%,299xx,SC,5 years,0
2600,4/21/2016,small_business,,28.91%,921xx,CA,< 1 year,0
3000,4/21/2016,debt_consolidation,,78.56%,354xx,AL,< 1 year,0
25000,4/21/2016,home_improvement,,12.89%,787xx,TX,< 1 year,0
10000,4/21/2016,credit_card,,20.83%,016xx,MA,< 1 year,0
16000,4/21/2016,debt_consolidation,,11.06%,472xx,IN,< 1 year,0
15000,4/21/2016,credit_card,,20.40%,843xx,UT,< 1 year,0
8000,4/21/2016,major_purchase,,2.09%,981xx,WA,< 1 year,0
10000,4/21/2016,debt_consolidation,,20.76%,934xx,CA,< 1 year,0
3000,4/21/2016,credit_card,,9.33%,631xx,MO,< 1 year,0
3000,4/21/2016,Vacation,,14.93%,212xx,MD,< 1 year,0
3000,4/21/2016,medical,,27.28%,248xx,WV,5 years,0
3000,4/21/2016,major_purchase,,17.71%,737xx,OK,< 1 year,0
12000,4/21/2016,debt_consolidation,,14.61%,370xx,TN,,0
40000,4/21/2016,debt_consolidation,,0.32%,906xx,CA,< 1 year,0
15000,4/21/2016,debt_consolidation,,12.16%,752xx,TX,< 1 year,0
5000,4/21/2016,vacation,,10.43%,928xx,CA,< 1 year,0
8000,4/21/2016,credit_card,,15.65%,347xx,FL,5 years,0
5000,4/21/2016,home_improvement,,60.47%,770xx,TX,5 years,0
5000,4/21/2016,small_business,,3.39%,914xx,CA,< 1 year,0
35000,4/21/2016,debt_consolidation,,7.73%,366xx,AL,< 1 year,0
10000,4/21/2016,medical,,9.19%,925xx,CA,< 1 year,0
10000,4/21/2016,debt_consolidation,,30.71%,959xx,CA,5 years,0
10000,4/21/2016,credit_card,652,99.40%,588xx,ND,< 1 year,0
12000,4/21/2016,credit_card,664,33.78%,341xx,FL,< 1 year,0
7000,4/21/2016,other,,53.83%,469xx,IN,< 1 year,0
30000,4/21/2016,debt_consolidation,,9.29%,958xx,CA,< 1 year,0
1000,4/21/2016,other,,3.80%,910xx,CA,< 1 year,0
40000,4/21/2016,other,,0.35%,762xx,TX,< 1 year,0
10000,4/21/2016,debt_consolidation,,15.88%,591xx,MT,< 1 year,0
10000,4/21/2016,debt_consolidation,614,47.43%,799xx,TX,< 1 year,0
20000,4/21/2016,car,,3.23%,021xx,MA,< 1 year,0
1000,4/21/2016,medical,,6.83%,940xx,CA,< 1 year,0
5000,4/21/2016,medical,696,0%,287xx,NC,< 1 year,0
10000,4/21/2016,debt_consolidation,,66.27%,873xx,NM,< 1 year,0
15000,4/21/2016,major_purchase,,7.68%,476xx,IN,< 1 year,0
15000,4/21/2016,debt_consolidation,,39.91%,801xx,CO,< 1 year,0
13000,4/21/2016,other,,18.82%,778xx,TX,< 1 year,0
10000,4/21/2016,credit_card,,15.76%,913xx,CA,< 1 year,0
5000,4/21/2016,home_improvement,,13%,425xx,KY,< 1 year,0
7500,4/21/2016,debt_consolidation,,-1%,025xx,MA,< 1 year,0
35000,4/21/2016,major_purchase,,0.30%,917xx,CA,< 1 year,0
6500,4/21/2016,home_improvement,,0%,700xx,LA,5 years,0
5000,4/21/2016,debt_consolidation,,66.87%,242xx,VA,< 1 year,0
8000,4/21/2016,debt_consolidation,,13.74%,900xx,CA,< 1 year,0
4000,4/21/2016,debt_consolidation,,14.84%,774xx,TX,< 1 year,0
10000,4/21/2016,debt_consolidation,,28.14%,923xx,CA,< 1 year,0
40000,4/21/2016,Business Loan,,-1%,710xx,LA,< 1 year,0
4000,4/21/2016,debt_consolidation,,26.66%,146xx,NY,< 1 year,0
6000,4/21/2016,car,,0%,290xx,SC,6 years,0
9500,4/21/2016,house,,0%,376xx,TN,5 years,0
15000,4/21/2016,debt_consolidation,,29.25%,320xx,FL,,0
2000,4/21/2016,other,,56.88%,946xx,CA,< 1 year,0
15000,4/21/2016,small_business,,21.40%,852xx,AZ,< 1 year,0
19000,4/21/2016,car,,3.58%,176xx,PA,5 years,0
12000,4/21/2016,credit_card,,25.92%,114xx,NY,5 years,0
10000,4/21/2016,moving,,29.63%,934xx,CA,5 years,0
14000,4/21/2016,other,,13.06%,944xx,CA,< 1 year,0
10000,4/21/2016,other,,37.23%,535xx,WI,< 1 year,0
15000,4/21/2016,Home improvement,,19.16%,201xx,VA,8 years,0
40000,4/21/2016,Debt consolidation,,18.60%,314xx,GA,5 years,0
10000,4/21/2016,credit_card,618,56.65%,949xx,CA,< 1 year,0
3000,4/21/2016,credit_card,,18.31%,212xx,MD,5 years,0
2000,4/21/2016,debt_consolidation,,-1%,925xx,CA,< 1 year,0
1000,4/21/2016,moving,,15.20%,850xx,AZ,< 1 year,0
12000,4/21/2016,other,,5.30%,980xx,WA,5 years,0
1000,4/21/2016,debt_consolidation,,18.19%,322xx,FL,< 1 year,0
5000,4/21/2016,debt_consolidation,,13.25%,856xx,AZ,5 years,0
20000,4/21/2016,debt_consolidation,,37.05%,155xx,PA,5 years,0
5000,4/21/2016,major_purchase,,1.42%,492xx,MI,< 1 year,0
10000,4/21/2016,debt_consolidation,668,51.05%,902xx,CA,< 1 year,0
2000,4/21/2016,Home improvement,,23.88%,921xx,CA,,0
10000,4/21/2016,other,604,41.78%,622xx,IL,< 1 year,0
4000,4/21/2016,major_purchase,,13.17%,820xx,WY,< 1 year,0
2000,4/21/2016,debt_consolidation,,269.41%,606xx,IL,< 1 year,0
5000,4/21/2016,other,,4.36%,112xx,NY,< 1 year,0
7000,4/21/2016,car,,3.93%,456xx,OH,< 1 year,0
12000,4/21/2016,other,,9.12%,980xx,WA,5 years,0
1000,4/21/2016,other,,3.75%,322xx,FL,< 1 year,0
5000,4/21/2016,other,,11.38%,919xx,CA,< 1 year,0
2000,4/21/2016,car,,16.79%,114xx,NY,5 years,0
5000,4/21/2016,major_purchase,,1.01%,327xx,FL,< 1 year,0
5000,4/21/2016,debt_consolidation,,37.14%,923xx,CA,< 1 year,0
5000,4/21/2016,major_purchase,,30.40%,236xx,VA,< 1 year,0
10000,4/21/2016,debt_consolidation,,19.23%,920xx,CA,5 years,0
3000,4/21/2016,vacation,,0%,363xx,AL,5 years,0
2500,4/21/2016,debt_consolidation,,16.94%,371xx,TN,< 1 year,0
15000,4/21/2016,debt_consolidation,673,46%,802xx,CO,< 1 year,0
3500,4/21/2016,car,,21.83%,080xx,NJ,< 1 year,0
7000,4/21/2016,debt_consolidation,,-1%,079xx,NJ,< 1 year,0
30000,4/21/2016,debt_consolidation,,8.24%,484xx,MI,5 years,0
20000,4/21/2016,debt_consolidation,,42.70%,364xx,AL,< 1 year,0
15000,4/21/2016,credit_card,,25.75%,114xx,NY,,0
10000,4/21/2016,home_improvement,,-1%,462xx,IN,5 years,0
25000,4/21/2016,debt_consolidation,,-1%,221xx,VA,5 years,0
8000,4/21/2016,debt_consolidation,,29.98%,660xx,KS,< 1 year,0
15000,4/21/2016,major_purchase,,5.52%,200xx,DC,5 years,0
9000,4/21/2016,car,,16.52%,232xx,VA,< 1 year,0
5000,4/21/2016,other,,19.20%,308xx,GA,5 years,0
10000,4/21/2016,debt_consolidation,,28.09%,387xx,MS,5 years,0
35000,4/21/2016,small_business,640,6%,113xx,NY,< 1 year,0
15000,4/21/2016,other,,8.98%,441xx,OH,< 1 year,0
10000,4/21/2016,medical,,7.66%,207xx,MD,5 years,0
3000,4/21/2016,other,,-1%,827xx,WY,,0
35000,4/21/2016,house,,26.92%,120xx,NY,5 years,0
1000,4/21/2016,other,,62.60%,710xx,LA,< 1 year,0
20000,4/21/2016,other,,8.88%,060xx,CT,< 1 year,0
10000,4/21/2016,other,,37.58%,902xx,CA,5 years,0
30000,4/21/2016,house,,19.84%,720xx,AR,5 years,0
15000,4/21/2016,small_business,,26.50%,850xx,AZ,< 1 year,0
1000,4/21/2016,debt_consolidation,,7.42%,492xx,MI,5 years,0
20000,4/21/2016,debt_consolidation,,22.78%,921xx,CA,< 1 year,0
15000,4/21/2016,medical,639,11.72%,891xx,NV,< 1 year,0
1000,4/21/2016,other,,4.20%,852xx,AZ,< 1 year,0
5000,4/21/2016,credit_card,,3.83%,904xx,CA,< 1 year,0
20000,4/21/2016,debt_consolidation,,42.39%,956xx,CA,< 1 year,0
15000,4/21/2016,debt_consolidation,732,83.10%,351xx,AL,< 1 year,0
1500,4/21/2016,debt_consolidation,,32.16%,853xx,AZ,5 years,0
10000,4/21/2016,debt_consolidation,,9.26%,890xx,NV,< 1 year,0
10000,4/21/2016,major_purchase,,-1%,827xx,WY,< 1 year,0
10000,4/21/2016,moving,513,15.96%,283xx,NC,< 1 year,0
22000,4/21/2016,home_improvement,,125.37%,337xx,FL,< 1 year,0
8000,4/21/2016,debt_consolidation,,54.80%,891xx,NV,< 1 year,0
1800,4/21/2016,car,,47.31%,306xx,GA,5 years,0
25000,4/21/2016,small_business,,4.87%,388xx,MS,< 1 year,0
20000,4/21/2016,debt_consolidation,,326.28%,920xx,CA,< 1 year,0
15000,4/21/2016,small_business,,0%,850xx,AZ,< 1 year,0
5000,4/21/2016,debt_consolidation,,19.29%,711xx,LA,< 1 year,0
25000,4/21/2016,debt_consolidation,,48.93%,902xx,CA,< 1 year,0
15000,4/21/2016,other,,3.41%,080xx,NJ,< 1 year,0
10000,4/21/2016,credit_card,,514.90%,707xx,LA,< 1 year,0
35000,4/21/2016,debt_consolidation,,7.94%,339xx,FL,< 1 year,0
5000,4/21/2016,credit_card,,7.50%,799xx,TX,5 years,0
8000,4/21/2016,debt_consolidation,,42.79%,103xx,NY,< 1 year,0
10000,4/21/2016,debt_consolidation,,36.62%,750xx,TX,5 years,0
1000,4/21/2016,debt_consolidation,,-1%,208xx,MD,< 1 year,0
20000,4/21/2016,home_improvement,,27.15%,337xx,FL,< 1 year,0
2000,4/21/2016,car,,1.36%,346xx,FL,< 1 year,0
3000,4/21/2016,moving,,56.01%,765xx,TX,< 1 year,0
3500,4/21/2016,credit_card,,20.28%,384xx,TN,< 1 year,0
20000,4/21/2016,debt_consolidation,,1.40%,388xx,MS,< 1 year,0
1300,4/21/2016,vacation,,679.52%,912xx,CA,< 1 year,0
10000,4/21/2016,debt_consolidation,,49.66%,933xx,CA,5 years,0
5000,4/21/2016,other,,6.89%,494xx,MI,< 1 year,0
3000,4/21/2016,other,,16.57%,672xx,KS,< 1 year,0
15000,4/21/2016,debt_consolidation,683,52.09%,656xx,MO,< 1 year,0
35000,4/21/2016,major_purchase,,18.96%,740xx,OK,< 1 year,0
10000,4/21/2016,debt_consolidation,656,29.15%,926xx,CA,< 1 year,0
5000,4/21/2016,other,,4.17%,440xx,OH,< 1 year,0
5000,4/21/2016,other,,5.78%,973xx,OR,,0
25000,4/21/2016,debt_consolidation,707,51.20%,451xx,OH,< 1 year,0
1500,4/21/2016,major_purchase,,-1%,989xx,WA,< 1 year,0
15000,4/21/2016,debt_consolidation,,0%,927xx,CA,< 1 year,0
15000,4/21/2016,debt_consolidation,,24.89%,190xx,PA,< 1 year,0
8000,4/21/2016,debt_consolidation,,26.72%,853xx,AZ,< 1 year,0
